3.000000000000000000e+01,4.000000000000000000e+00
4.720000000000000284e+01,6.099999999999999645e+00
7.020000000000000284e+01,9.800000000000000711e+00
7.740000000000000568e+01,3.520000000000000284e+01
3.629999999999999716e+01,5.939999999999999858e+01
2.060000000000000142e+01,4.170000000000000284e+01
1.810000000000000142e+01,1.900000000000000000e+01
2.139999999999999858e+01,1.300000000000000000e+01
2.200000000000000000e+01,8.300000000000000711e+00
2.539999999999999858e+01,9.099999999999999645e+00
2.710000000000000142e+01,7.400000000000000355e+00
4.029999999999999716e+01,8.000000000000000000e+00
5.700000000000000000e+01,1.230000000000000071e+01
7.659999999999999432e+01,1.950000000000000000e+01
5.229999999999999716e+01,4.570000000000000284e+01
1.950000000000000000e+01,5.110000000000000142e+01
1.119999999999999929e+01,2.969999999999999929e+01
7.599999999999999645e+00,1.580000000000000071e+01
1.459999999999999964e+01,9.699999999999999289e+00
1.619999999999999929e+01,1.009999999999999964e+01
2.469999999999999929e+01,8.599999999999999645e+00
