Time (ms),Height (mm)
67.2,9.8547719
67.4,9.8935703
67.6,9.8935703
67.8,9.9323686
68,9.9323686
68.2,9.9711669
68.4,10.009965
68.6,10.009965
68.8,10.048764
69,10.048764
69.2,10.087562
69.4,10.087562
69.6,10.12636
69.8,10.12636
70,10.12636
70.2,10.165158
70.4,10.165158
70.6,10.203957
70.8,10.203957
71,10.242755
71.2,10.242755
71.4,10.242755
71.6,10.281553
71.8,10.281553
72,10.320352
72.2,10.320352
72.4,10.35915
72.6,10.35915
72.8,10.397948
73,10.397948
73.2,10.436747
73.4,10.436747
73.6,10.436747
73.8,10.475545
74,10.514343
74.2,10.514343
74.4,10.553142
74.6,10.553142
74.8,10.59194
75,10.59194
75.2,10.630738
75.4,10.630738
75.6,10.669537
75.8,10.669537
76,10.708335
76.2,10.708335
76.4,10.747133
76.6,10.747133
76.8,10.785931
77,10.785931
77.2,10.82473
77.4,10.82473
77.6,10.863528
77.8,10.863528
78,10.863528
78.2,10.902326
78.4,10.902326
78.6,10.941125
78.8,10.941125
79,10.941125
79.2,10.979923
79.4,10.979923
79.6,10.979923
79.8,11.018721
80,11.018721
80.2,11.05752
80.4,11.05752
80.6,11.05752
80.8,11.096318
81,11.096318
81.2,11.096318
81.4,11.135116
81.6,11.135116
81.8,11.135116
82,11.135116
82.2,11.173915
82.4,11.173915
82.6,11.173915
82.8,11.212713
83,11.212713
83.2,11.212713
83.4,11.251511
83.6,11.251511
83.8,11.251511
84,11.29031
84.2,11.29031
84.4,11.29031
84.6,11.329108
84.8,11.329108
85,11.329108
85.2,11.367906
85.4,11.367906
85.6,11.406705
85.8,11.406705
86,11.406705
86.2,11.406705
86.4,11.445503
86.6,11.445503
86.8,11.484301
87,11.484301
87.2,11.484301
87.4,11.523099
87.6,11.523099
87.8,11.561898
88,11.561898
88.2,11.561898
88.4,11.600696
88.6,11.600696
88.8,11.639494
89,11.639494
89.2,11.678293
89.4,11.678293
89.6,11.678293
89.8,11.717091
90,11.717091
90.2,11.755889
90.4,11.755889
90.6,11.794688
90.8,11.794688
91,11.794688
91.2,11.833486
91.4,11.833486
91.6,11.872284
91.8,11.872284
92,11.911083
92.2,11.911083
92.4,11.911083
92.6,11.949881
92.8,11.949881
93,11.988679
93.2,11.988679
93.4,12.027478
93.6,12.027478
93.8,12.066276
94,12.066276
94.2,12.066276
94.4,12.105074
94.6,12.105074
94.8,12.143873
95,12.143873
95.2,12.143873
95.4,12.182671
95.6,12.182671
95.8,12.221469
96,12.221469
96.2,12.221469
96.4,12.260267
96.6,12.260267
96.8,12.260267
97,12.260267
97.2,12.299066
97.4,12.299066
97.6,12.337864
97.8,12.337864
98,12.337864
98.2,12.376662
98.4,12.376662
98.6,12.376662
98.8,12.376662
99,12.415461
99.2,12.415461
99.4,12.415461
99.6,12.454259
99.8,12.454259
100,12.454259
100.2,12.454259
100.4,12.493057
100.6,12.493057
100.8,12.493057
101,12.493057
101.2,12.531856
101.4,12.531856
101.6,12.531856
101.8,12.570654
102,12.570654
102.2,12.570654
102.4,12.570654
102.6,12.609452
102.8,12.609452
103,12.609452
103.2,12.609452
103.4,12.648251
103.6,12.648251
103.8,12.648251
104,12.687049
104.2,12.687049
104.4,12.687049
104.6,12.687049
104.8,12.725847
105,12.725847
105.2,12.725847
105.4,12.725847
105.6,12.764646
105.8,12.764646
106,12.764646
106.2,12.764646
106.4,12.803444
106.6,12.803444
106.8,12.803444
107,12.842242
107.2,12.842242
107.4,12.842242
107.6,12.842242
107.8,12.88104
108,12.88104
108.2,12.88104
108.4,12.88104
108.6,12.88104
108.8,12.919839
109,12.919839
109.2,12.958637
109.4,12.958637
109.6,12.958637
109.8,12.958637
110,12.997435
110.2,12.997435
110.4,12.997435
110.6,13.036234
110.8,13.036234
111,13.036234
111.2,13.075032
111.4,13.075032
111.6,13.075032
111.8,13.11383
112,13.11383
112.2,13.11383
112.4,13.152629
112.6,13.152629
112.8,13.152629
113,13.191427
113.2,13.191427
113.4,13.191427
113.6,13.230225
113.8,13.230225
114,13.230225
114.2,13.269024
114.4,13.269024
114.6,13.269024
114.8,13.307822
115,13.307822
115.2,13.307822
115.4,13.34662
115.6,13.34662
115.8,13.34662
116,13.385419
116.2,13.385419
116.4,13.385419
116.6,13.424217
116.8,13.424217
117,13.463015
117.2,13.463015
117.4,13.463015
117.6,13.501814
117.8,13.501814
118,13.501814
118.2,13.540612
118.4,13.540612
118.6,13.540612
118.8,13.57941
119,13.57941
119.2,13.57941
119.4,13.618208
119.6,13.618208
119.8,13.618208
120,13.657007
